setting,status,press_index,release_index
0,0x80000000,100,100
1,0x80000000,17,13
2,0x80000000,17,13
3,0x80000000,17,13
4,0x80000000,17,13
5,0x80000000,17,13
6,0x80000000,17,13
7,0x80000000,17,13
8,0x80000000,17,13
9,0x80000000,17,13
10,0x80000000,17,13
11,0x80000000,17,13
12,0x80000000,17,13
13,0x80000000,17,13
14,0x80000000,17,13
15,0x80000000,17,13
16,0x80000000,17,13
17,0x80000000,17,13
18,0x80000000,17,13
19,0x80000000,17,13
20,0x80000000,17,13
21,0x80000000,17,13
22,0x80000000,17,13
23,0x80000000,17,13
24,0x80000000,17,13
25,0x80000000,17,13
26,0x80000000,17,13
27,0x80000000,17,13
28,0x80000000,17,13
29,0x80000000,17,13
30,0x80000000,17,13
31,0x80000000,17,13
32,0x80000000,17,13
33,0x80000000,17,13
34,0x80000000,17,13
35,0x80000000,17,13
36,0x80000000,17,13
37,0x80000000,17,13
38,0x80000000,17,13
39,0x80000000,21,15
40,0x80000000,21,15
41,0x80000000,21,15
42,0x80000000,21,15
43,0x80000000,21,15
44,0x80000000,21,15
45,0x80000000,21,15
46,0x80000000,21,15
47,0x80000000,21,15
48,0x80000000,21,15
49,0x80000000,21,15
50,0x80000000,21,15
51,0x80000000,21,15
52,0x80000000,21,15
53,0x80000000,21,15
54,0x80000000,21,15
55,0x80000000,21,15
56,0x80000000,21,15
57,0x80000000,21,15
58,0x80000000,21,15
59,0x80000000,21,15
60,0x80000000,21,15
61,0x80000000,21,15
62,0x80000000,21,15
63,0x80000000,21,15
64,0x80000000,24,17
65,0x80000000,24,17
66,0x80000000,24,17
67,0x80000000,24,17
68,0x80000000,24,17
69,0x80000000,24,17
70,0x80000000,24,17
71,0x80000000,24,17
72,0x80000000,24,17
73,0x80000000,24,17
74,0x80000000,24,17
75,0x80000000,24,17
76,0x80000000,24,17
77,0x80000000,24,17
78,0x80000000,24,17
79,0x80000000,24,17
80,0x80000000,24,17
81,0x80000000,24,17
82,0x80000000,24,17
83,0x80000000,24,17
84,0x80000000,24,17
85,0x80000000,24,17
86,0x80000000,24,17
87,0x80000000,24,17
88,0x80000000,24,17
89,0x80000000,36,29
90,0x80000000,36,29
91,0x80000000,36,29
92,0x80000000,36,29
93,0x80000000,36,29
94,0x80000000,36,29
95,0x80000000,36,29
