index,bank,local_index,type,offset_words,length_words,payload_sha256
0,XM,0,8,76,22,7d106dcbd3da15c8da56415a5d5cd492a742680d7364cfd7dd05423b72b93090
1,XM,1,8,98,22,d8cc8fc696ad408414e99f6ddea76eed734c2603754f77ab032b6e9ee1196262
2,XM,2,8,120,22,c6ea98dc047264bdaea248e5e96e205595b776f75827b5b272947142be12ebd8
3,XM,3,8,142,22,b4e2f3ecc28c79682361c702feaa5deb031413a11201f67bb2fad8d286523fea
4,XM,4,8,164,22,e304ddc186871b3bc0686823ed65e30649ae7a4b8a1d90d67e5153aefd2b1066
5,XM,5,8,186,22,c5c003a043f6f282fb5bf7d04004ce4afa4842d7dacf6778690eed9c09211b07
6,XM,6,8,208,22,66b41401fea44985c0878bbdd2c342e182177bca5591949d360ada522840db65
7,XM,7,8,230,22,30d81ec91f9d5d89eeea0fe4f33902ecb8a467e12d7e5a2ef74590d799ee7597
8,XM,8,8,252,22,5b5c67077313d6970c7d9ff38656cc1f6ee602470800bd12144f3a596dd9a0be
9,XM,9,8,274,22,fbc05b16b376760d7531312c15a081871a684832e30c01c880151bcbeb8e080f
10,XM,10,8,296,22,7ae2859170abd8c95cc194d16885fae924516f79167d1dcaaa4a015a41fb7760
11,XM,11,8,318,22,3f5864d3b60e9bc3d6601a6cca29de97b2c3ff1696e7281f9bd137a1d3db885f
12,XM,12,8,340,22,aef967b2f3bae72cf713ec55f399f595951159c4d45eceddc4baa499bc2710a3
13,XM,13,8,362,20,e36b7493dd39bacbe352cbc4f925078659239e344e43417672335aba9bfb9198
14,XM,14,8,382,20,ed164ec626ede9d786d3250d8e6a271ca461643d5e69dcf167f35cfea2a861e9
15,XM,15,8,402,20,d5e0a4f681b354e31af297129023f6e15f23e79b3b41997a6f9020caac049b17
16,XM,16,8,422,20,8434d53db9cc8e8f0f045d5168cd03f803baa16e361ae3ba326dec433f56f888
17,XM,17,8,442,20,78ad469d05c729d8bab80687d297160ea4676dec0e02afcaafbc41450635513b
18,XM,18,8,462,20,0560face91f9f91aa9248e38013a2c426b4943264faf28e6bcee83df10d8b946
19,XM,19,8,482,20,6c3f4bfc0fa0b4952ace4d55f5b4a693de2fb132d70c0ecc2010649be685c423
20,XM,20,8,502,20,cf96a0c4954b5719c7dea6b95b1da726e21f3a48ff367afba2e631b454759a7d
21,XM,21,8,522,20,0350890cb857e90c8dd35325f47fc155fda9414ba58b4ada8c8ce564b101009e
22,XM,22,8,542,20,3cd31dc2886f5c0c9643f8ceaad217d0c135d9aec76c9e408d2a4e94fb39204a
23,XM,23,8,562,20,bc9337b9d595cf9408b2a5704cb71b5557c7ad73850d42a00b0b3cd940de4134
24,XM,24,8,582,20,534dbc08998ee3e0ee30913cc02898d6c5c56aa6739bb9f1f4902c79472dce80
25,YM,0,8,160,20,c703dad5fc6507ed7ed5e4650ad693b45905aac1968ac3a766f14fb54dab32b7
26,YM,1,8,180,18,14558c916da31f1bde7bd6a1c966ae2a02152ca211ef0c67d224b7a0d77e4e20
27,YM,2,8,198,18,b99eae81e4a29aca13e81a4aa898058d85a6887ad7bde0b7fd731c9b554281ef
28,YM,3,8,216,18,0eb23c51704bec1ad2d8f0732dd1223883474d4c6ca905d3bb649baae74635f2
29,YM,4,8,234,18,26fcb0b158b04f11ded476d2de56c914c811268deff7e0031c3f2f4454c45895
30,YM,5,8,252,18,befbe32aded0c9d59c319c1a60b613cc992912527f19becf0f0e60f6cdddf148
31,YM,6,8,270,18,478a3862784b241112aa573d0bd42e8b24fb0ef4a7b45f49e2b85049113b1b11
32,YM,7,8,288,18,43bd3761009e6d4ba3c26d8099062f48f37a0e4f1697654335e5dbc6afa8a026
33,YM,8,8,306,18,e0bb1bbf3639cd39a5c813af2f75bcc48c41be0cb9c3bd43d074a83b5ec99f9d
34,YM,9,8,324,18,f70b5f3642e4a06c817127a3c25a632798617555a75bfc2761d5426a102ff52c
35,YM,10,8,342,18,459cf4d7d8e74996e80b47fbc4c34c1baf23425dc44b05e333eb1af2f450a1dd
36,YM,11,8,360,18,0665a7e348e7eff834bfb1a9108e65dcefc8ff0a8a32ba5b5c53cda96e5a0d53
37,YM,12,8,378,18,cb7c4e1a7fa4bbb2f7a23e637daf611d6a86781f699af556957ab69a19728100
38,YM,13,8,396,18,16d2cf42a14200d6160af14a9017deb4934db7cc806ce16867cd69efd02790c3
39,YM,14,8,414,17,e42933e42534ed0bc47d3b5c2135143a28d612c2974b862c9718ba578bbc767b
40,YM,15,8,431,17,08a895e61d7e0b2692b39dfdc2f4057a6c41337dcef28a0ec1b7ed8f9e6e0183
41,YM,16,8,448,17,6a9282c958afcdd23cfbb7066b7c805d7fb51a9d11c88a71b721303f378296e9
42,YM,17,8,465,17,76790720bc30e46285dac794f461331cd2c63300523f944dc127548e1e45b575
43,YM,18,8,482,17,4e25a62edbcd79eed5a82e3ba90a97dba183cb77949d7700cf8f5d65b3bff176
44,YM,19,8,499,17,08e87678cb19eb08c7e7dc0127f97c2970316c29cb6f31bee5e1b4b962fa69cc
45,YM,20,8,516,17,3c9687949c0316887a80e15288c3367ee6b4cea8a1fedd249233d972fb8b1ffa
46,YM,21,8,533,17,e3e88a6fdd0f9a55b3b5c5ee6f047aae0fa2db934fd339502c042342f211f68b
47,YM,22,8,550,17,dbe90d76a6802ffca0da3679a617e53e3969552255379a62bd8747f73e1a24f1
48,YM,23,8,567,17,f9f345403cef619839528cdbb88d4ee4f565da1fd12d7ee90b7c65bc0843b753
49,YM,24,8,584,17,395e11ffc338d1868482608f1c51707119107bbaa20384c6e5032fdebd20d536
50,YM,25,8,601,17,cdd54ec5fee7891f5a8c77dd801f0bf91adb16706fbefb35b6c22e287abd1fbb
51,YM,26,8,618,17,fa1cfae3698cb52865fa886b026a8b47b600f896554b802e17ba526d1d4613af
52,YM,27,8,635,15,e12b632155e3a147874c6204f801f70768201009685b338faff0f738fc153328
53,YM,28,8,650,15,3546641f01f687c88383bbd197b93f0a671e09501246af59a754098715cda9de
54,YM,29,8,665,15,9b74ef70130ef8796299605172b090a0e8eee4df889834ca550da3b37baa3050
55,YM,30,8,680,15,d8bc3f3dd29d8b5ed600b873ac7be389f966eea245404ce95da5a5e9e4cf802c
56,YM,31,8,695,15,1ed3e485b37cde15a0e45b1a7128dd61ea80fe6e9af64578c0128099f66c7379
57,YM,32,8,710,15,783721d9d85abe6da5a90c3ffcf0dfa55579cabb471c2888c00e9f83e5305781
58,YM,33,8,725,15,d5cdf33c1dd53660d35f3b8604cdb4b4aba06c17981feeddba660997243410ab
59,YM,34,8,740,15,efbe0e92d6ccdd5c944bbdbe8725553178bd0644a66be5fe93c2d7380a3f86d4
60,YM,35,8,755,15,0515a49f39f04833b735216964a620470238ecf118e27bd8588cf47f1ea3bd70
61,YM,36,8,770,15,62fe522cc8609805fa5e9a7198fc07588ed689fd761057a38571e5cb8777f210
62,YM,37,8,785,15,d2df593f14dfa834ceb0009f0e3284520048c787eead463de91509ae0a54ca06
63,YM,38,8,800,15,7449488d2b882be277122ac58eda79810e2d88df69b089845af8674eb184a424
64,YM,39,8,815,15,ccb53a67acac4f488f413aef799590641518fc9f0bd9ee15d90c65f330bdb505
65,YM,40,8,830,14,d0dcf9439d53b549e9dd7883a51e760d9e7450e9c9022b52d41aae6bf50f6578
66,YM,41,8,844,14,d2fe9e8f380631ad26b29f013806f593f3e0313030925f29b61b887a81d22cc1
67,YM,42,8,858,14,6c684c243ab472e634fa4c9bf6f71b11c978b34e1e6740e7793f41ea816e565f
68,YM,43,8,872,14,6c8c3eb269670f5e4f950d92b73c777cc8ea6d3370ca48b9d4ad100802b08a3d
69,YM,44,8,886,14,6c16df288409c560d5ca2bc3909e9b0947cb59410655d5789374089756bfde5f
70,YM,45,8,900,14,a7ce0084ab1e5e3443101bc3d143fb54679eba9e0bfa863b536b956134baf753
71,YM,46,8,914,14,892b9306dede8313c73e26b21d6abab74de3d568a4ee952e011cfb2c6aca483d
72,YM,47,8,928,14,d8b244dd0f4092606e514f1bf008197787febd6cf1cb3ca371d6a532f4adac5c
73,YM,48,8,942,14,23d679b316997710e9b2209cf1cf2ed48ace099aab1aad8ca2ed8ebd05ec47fd
74,YM,49,8,956,14,5d13bdbfaac572ede31dfa3edb3b0dc487da2ee85b6976f5248ea174dd05eb3a
75,YM,50,8,970,14,f4deee8285efcfcf78a28d7f31e68ea37ba3204e45cade3188e96dcc97f368ae
76,YM,51,8,984,14,b787c7fc01cb314e272a0fa5026830139084051e67a1af97a70edb410546b5e1
77,YM,52,8,998,14,8477b163214a60f872c883fbc37af158a37aeab963839182766d1d05b5e05c98
